gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp101478_c0	seq1.p1	829	947	1238	7	30	0
comp10147_c0	seq1.p1	0	0	0	0	6	0
comp101480_c0	seq2.p1	1	0	0	5	1	2
comp101481_c0	seq2.p1	1	0	140	2	0	182
comp101482_c0	seq1.p1	1	2	2	5	0	0
comp101497_c0	seq1.p1	7	7	3	7	3	10
comp101500_c0	seq1.p1	3	5	3	6	3	4
comp101520_c0	seq1.p1	8	0	0	1	4	0
comp101523_c0	seq1.p1	9	2	0	15	5	1
comp101523_c1	seq1.p1	2	5	0	22	7	7
comp101525_c0	seq1.p1	3	3	2	0	1	1
comp101526_c0	seq1.p1	1537	1117	1276	921	461	592
comp101558_c0	seq1.p1	2	0	2	5	5	4
comp101560_c0	seq1.p1	0	1	1	0	2	41
comp101562_c0	seq1.p1	7	6	0	1	0	0
comp101577_c1	seq1.p1	4	8	6	0	0	0
comp101580_c0	seq1.p1	1	14	7	0	0	0
comp101581_c0	seq1.p1	299	264	206	265	446	413
comp101581_c0	seq2.p1	716	630	448	481	856	677
comp101592_c1	seq1.p1	0	0	235	0	0	0
comp101620_c0	seq1.p1	1	1	0	4	3	1
comp101632_c2	seq1.p1	0	1	0	0	70	0
comp101639_c0	seq1.p1	126	133	132	245	122	370
comp101639_c0	seq2.p1	45	73	38	102	63	111
comp10163_c0	seq1.p1	4	5	0	1	0	0
comp101645_c0	seq1.p1	3	0	1	0	0	2
comp101655_c0	seq1.p1	0	0	0	4	3	11
comp101663_c0	seq2.p1	1	0	0	0	12	0
comp101669_c1	seq1.p1	4	14	3	2	6	2
comp101678_c2	seq1.p1	3	1	1	0	2	2
comp101683_c0	seq1.p1	194	223	25	35	22	16
comp101683_c0	seq2.p1	218	223	102	38	59	59
comp101686_c0	seq1.p1	2	1	2	2	5	4
comp101691_c0	seq1.p1	5	4	5	6	2	9
comp1016_c0	seq1.p1	3	1	2	1	1	1
comp101702_c0	seq1.p1	0	0	0	3	1	2
comp101704_c0	seq1.p1	16	10	0	0	3	0
comp101711_c0	seq1.p1	4	0	0	1	5	6
comp101722_c0	seq1.p1	1	4	1	2	5	9
comp101728_c0	seq1.p1	0	1	0	12	0	0
comp101744_c0	seq1.p1	35	31	36	17	18	21
comp101747_c0	seq2.p1	0	0	1	14	0	1
comp101777_c0	seq1.p3	2136	1828	2155	2646	2810	3226
comp101780_c0	seq1.p1	0	2	2	1	0	0
comp101782_c0	seq1.p1	8	8	5	2	5	20
comp101786_c0	seq1.p1	2	3	1	1	0	5
comp101792_c0	seq1.p1	0	0	0	2	3	7
comp101793_c0	seq1.p1	1	0	0	0	107	1
comp101794_c1	seq1.p1	0	2	2	0	0	5
comp101795_c0	seq1.p1	1222	1066	897	1052	1316	1032
comp101798_c0	seq4.p1	218	217	67	250	159	101
comp10179_c0	seq1.p1	0	1	2	4	0	2
comp101800_c0	seq1.p1	338	305	300	382	580	659
comp101809_c0	seq1.p1	0	5	1	5	2	3
comp101824_c0	seq1.p1	1	1	0	4	12	6
comp101865_c1	seq1.p1	4	3	3	2	2	0
comp101867_c0	seq1.p1	0	1	0	5	1	18
comp101868_c2	seq1.p1	1	2	2	0	1	0
comp101868_c3	seq1.p1	3	2	3	0	1	0
comp101868_c4	seq1.p1	0	1	3	0	0	0
comp101880_c0	seq1.p1	4	5	9	1	1	1
comp101884_c0	seq1.p1	170	134	108	9	3	0
comp101890_c0	seq1.p1	6	8	3	3	6	3
comp101896_c0	seq1.p1	166	137	116	321	279	319
comp101909_c0	seq1.p1	0	2	0	2	4	4
comp101919_c1	seq1.p1	1	5	9	6	11	4
comp101922_c0	seq1.p1	754	794	667	378	582	1076
comp101931_c0	seq1.p1	1487	1379	1109	82	153	274
comp101932_c1	seq1.p1	5	12	8	2	0	15
comp101939_c0	seq1.p1	3	2	3	0	0	0
comp101943_c0	seq1.p1	1	2	4	0	2	4
comp101945_c0	seq1.p1	0	2	5	4	1	5
comp101969_c0	seq1.p1	3	2	1	3	2	2
comp101973_c0	seq1.p1	2	1	0	1	0	0
comp101974_c0	seq1.p1	0	0	2	1	1	2
