gene_id	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp101560_c0	0	1	1	0	2	41
comp101562_c0	7	6	0	1	0	0
comp101577_c1	4	8	6	0	0	0
comp101580_c0	1	14	7	0	0	0
comp101581_c0	1015	894	654	746	1302	1090
comp101592_c1	0	0	235	0	0	0
comp101620_c0	1	1	0	4	3	1
comp101632_c2	0	1	0	0	70	0
comp101639_c0	171	206	170	347	185	481
comp10163_c0	4	5	0	1	0	0
comp101645_c0	3	0	1	0	0	2
comp101655_c0	0	0	0	4	3	11
comp101663_c0	1	0	0	0	12	0
comp101669_c1	4	14	3	2	6	2
comp101678_c2	3	1	1	0	2	2
comp101683_c0	412	446	127	73	81	75
comp101686_c0	2	1	2	2	5	4
comp101691_c0	5	4	5	6	2	9
comp1016_c0	3	1	2	1	1	1
comp101702_c0	0	0	0	3	1	2
comp101704_c0	16	10	0	0	3	0
comp101711_c0	4	0	0	1	5	6
comp101722_c0	1	4	1	2	5	9
comp101728_c0	0	1	0	12	0	0
comp101744_c0	35	31	36	17	18	21
comp101747_c0	0	0	1	14	0	1
comp101777_c0	2136	1828	2155	2646	2810	3226
comp101780_c0	0	2	2	1	0	0
comp101782_c0	8	8	5	2	5	20
comp101786_c0	2	3	1	1	0	5
comp101792_c0	0	0	0	2	3	7
comp101793_c0	1	0	0	0	107	1
comp101794_c1	0	2	2	0	0	5
comp101795_c0	1222	1066	897	1052	1316	1032
comp101798_c0	218	217	67	250	159	101
comp10179_c0	0	1	2	4	0	2
comp101800_c0	338	305	300	382	580	659
comp101809_c0	0	5	1	5	2	3
comp101824_c0	1	1	0	4	12	6
comp101865_c1	4	3	3	2	2	0
comp101867_c0	0	1	0	5	1	18
comp101868_c2	1	2	2	0	1	0
comp101868_c3	3	2	3	0	1	0
comp101868_c4	0	1	3	0	0	0
comp101880_c0	4	5	9	1	1	1
comp101884_c0	170	134	108	9	3	0
comp101890_c0	6	8	3	3	6	3
comp101896_c0	166	137	116	321	279	319
comp101909_c0	0	2	0	2	4	4
comp101919_c1	1	5	9	6	11	4
comp101922_c0	754	794	667	378	582	1076
