gene_id	gameto_5	gameto_6	gameto_7	sporo_7	sporo_8	sporo_9
Pp3c10_17030	96	122	101	72	10	10
Pp3c10_17041	2	3	7	18	5	10
Pp3c10_17050	290	221	421	1039	800	1107
Pp3c10_17060	0	6	2	127	92	60
Pp3c10_17070	6230	5139	6905	3576	1509	2855
Pp3c10_17080	8824	7544	9664	4928	1880	3740
Pp3c10_1710	840	669	1213	1394	434	674
Pp3c10_17110	792	584	716	927	300	633
Pp3c10_17120	1688	1624	1953	633	426	709
Pp3c10_17130	3789	3231	4125	1376	356	311
Pp3c10_17170	286	293	418	204	7	55
Pp3c10_17198	1	0	1	4	3	32
Pp3c10_17220	1029	974	1061	821	123	279
Pp3c10_17225	1029	974	1061	821	123	279
Pp3c10_17250	130	134	125	221	70	146
Pp3c10_17260	37	33	40	2	2	1
Pp3c10_17310	1944	1359	2979	22607	4680	2941
Pp3c10_17330	19	22	19	46	6	10
Pp3c10_17340	133	137	114	41	18	34
Pp3c10_17360	127	128	109	28	11	27
Pp3c10_17370	47	32	18	26	12	63
Pp3c10_17390	422	390	404	1147	277	609
Pp3c10_17410	0	0	0	0	0	0
Pp3c10_17420	0	0	0	0	0	0
Pp3c10_17460	0	0	0	0	0	0
Pp3c10_17480	9	13	12	18	5	8
Pp3c10_17490	11	13	17	491	124	130
Pp3c10_17491	7	0	5	38	9	24
Pp3c10_17500	15	10	21	284	170	169
Pp3c10_17510	8	8	12	37	28	10
Pp3c10_17530	5	2	5	23	9	3
Pp3c10_17540	13	10	22	107	13	16
Pp3c10_17630	872	866	734	195	89	267
Pp3c10_17640	734	652	943	1678	879	1310
Pp3c10_17660	89	71	104	180	60	50
Pp3c10_17670	474	377	447	470	121	232
Pp3c10_17680	406	366	401	1406	342	439
Pp3c10_17710	0	0	0	0	0	0
Pp3c10_17760	33544	28867	21149	4450	2538	5614
Pp3c10_17770	1540	1391	1635	933	481	779
Pp3c10_17780	1	0	0	0	0	0
Pp3c10_17790	0	1	1	1492	374	394
Pp3c10_17810	123	119	137	1721	203	429
